,Entrez_ID
ACTB,60
CHMP2A,27243
EEF1A1,1915
EMC7,56851
GAPDH,2597
GPI,2821
PSMB2,5690
PSMB4,5692
RAB7A,7879
REEP5,7905
SNRPD3,6634
TUBA1A,7846
VCP,7415
